item_id,item_name,item_price,item_quantity
A1B9C5D3,Computer,1500.75,8
X7Z2Y5W1,Laptop,1200.5,5
P3Q8R5S6,Monitor,350.25,12
K9L4M7N2,Keyboard,80.0,15
T6U2V9W4,Mouse,25.99,20
F8G3H6J7,Headphones,200.5,10
M1N8P5Q3,Chair,300.75,9
W7X2Y5Z9,Printer,550.25,4
L6M9N2P5,Scanner,180.0,7
O3P8Q5R7,Speakers,120.99,11
B2C7D4E9,Router,90.25,14
G3H8J5K2,ExternalHDD,160.5,8
Z9X4C7V2,SSD,300.25,5
A6S9D2F5,Webcam,50.0,12
H1J8K5L3,Microphone,75.99,15
Q4W9E2R5,Tablet,400.0,9
V7B2N5M9,Projector,800.75,6
J6K9L2M5,TV,1200.5,4
E3R8T5Y7,UPS,150.25,7
U2I7O4P9,EthernetCable,15.0,20
N5M8B3V2,PowerBank,45.99,11
W9Z4X7C2,SDCard,20.25,16
Q6A9S2D5,GamingConsole,500.5,8
R3F8G5H7,Joystick,90.0,13
T2Y7U4I9,Drone,350.25,5
P5O8I3U7,Smartwatch,200.99,10
J9K2L5M8,FitnessTracker,100.25,15
C6V9B2N5,Camera,750.0,60
Z3X8C5V7,Tripod,80.5,9
Q9W2E5R8,Binoculars,300.25,4
Y6U9I2O5,Telescope,400.99,7
A1S4D7F9,BluetoothSpeaker,150.25,12
G8H3J6K9,ElectricGuitar,600.5,5
L5M9N2P4,AcousticGuitar,350.25,8
B7V2N5M8,KeyboardPiano,400.0,6
R3F8G5H2,Violin,200.75,9
C6V9B2N4,DrumSet,900.25,3
X7Z2Y5W1,Saxophone,1200.5,4
Q9W2E5R8,Flute,350.25,6
T6U9I2O5,Trumpet,180.0,8
A1S4D7F9,Clarinet,90.5,10
G8H3J6K9,Harmonica,45.99,12
L5M9N2P4,Triangle,25.25,15
B7V2N5M8,Tambourine,50.0,9
R3F8G5H2,Maracas,30.75,11
C6V9B2N4,Cowbell,15.25,14
X7Z2Y5W1,Djembe,70.5,7
Q9W2E5R8,Xylophone,120.25,5
T6U9I2O5,Glockenspiel,150.99,9
A1S4D7F9,Harp,500.25,3
G8H3J6K9,Banjo,250.5,6
L5M9N2P4,Ukulele,180.25,5
<functionuuid4at0x1045baa20>,Keyboard,25.5,10
<functionuuid4at0x10440ba60>,Keyboard,25.5,10
<functionuuid1at0x1004af9c0>,Keyboard,25.5,10
57,HP Desktop,1000.0,40
